Date,Open,High,Low,Close
2-Apr-13,12307.9,12393.5,12240.25,12249.6
3-Apr-13,11557.95,11557.95,11416.85,11461.3
4-Apr-13,11286.1,11336.3,11144.8,11173.05
6-Apr-13,12384.25,12530.8,12384.25,12449.55
7-Apr-13,11673.8,11740.1,11587.45,11672.75
9-Apr-13,10349.85,10505.7,10311.15,10486.15
10-Apr-13,11450.5,11583.45,11447.3,11535.1
12-Apr-13,12386.15,12443.3,12312.3,12322.65
15-Apr-13,11286.45,11375.3,11271.2,11294.65
16-Apr-13,11252,11467.7,11252,11454.9
17-Apr-13,11481.85,11607.85,11459.3,11492.3
18-Apr-13,11494,11651.15,11494,11639.6
22-Apr-13,11662.6,11835.55,11655.55,11818.05
23-Apr-13,11829.45,11836.35,11684.75,11765.5
25-Apr-13,11792.15,11881.75,11792.15,11850.8
26-Apr-13,11874.2,11915.2,11768.35,11802.5
29-Apr-13,11814.8,11953.15,11801.95,11933.1
30-Apr-13,11977.3,12066.2,11888.9,12042.4
2-May-13,12247,12247,12127.55,12192.55
3-May-13,11465.55,11639.3,11465.55,11627.95
4-May-13,11150.45,11258.15,11126.35,11168.1
6-May-13,12419.45,12481.65,12382.4,12468.55
7-May-13,11777.05,11835.9,11640.65,11682.85
8-May-13,10876.95,10935.75,10755.9,10917.7
9-May-13,10628.75,10747.6,10628.75,10708.9
11-May-13,12303.55,12395.7,12206.1,12311.65
12-May-13,12483.9,12512.15,12393.05,12409.9
13-May-13,12457.35,12486.15,12266.7,12286.6
14-May-13,12277.1,12357.25,12253.2,12326.35
15-May-13,12358.6,12567.7,12358.6,12554.8
16-May-13,12541.45,12689.15,12541.45,12642.95
17-May-13,12641.7,12756,12609.55,12737.55
20-May-13,12760,12798.05,12578.55,12598.3
21-May-13,12588.4,12639.15,12475.9,12508.85
22-May-13,12556.4,12622.5,12409.25,12443.35
23-May-13,12397.2,12397.2,12157.55,12230.25
24-May-13,12278.05,12355.1,12170.05,12325.8
27-May-13,12336.35,12480.75,12322.55,12474.95
28-May-13,12477.4,12551.1,12464.05,12491.05
29-May-13,12486.45,12500.2,12370.35,12423.3
30-May-13,12376.25,12449.65,12375.95,12411.05
31-May-13,12400.25,12443.05,12277.4,12312.05
2-Jun-13,12197.65,12332.9,12197.65,12244.85
3-Jun-13,11633.3,11763.55,11633.3,11688.4
5-Jun-13,12189.55,12286.9,12153.3,12275.3
6-Jun-13,12400.75,12481.05,12382,12421.85
8-Jun-13,10839.8,10839.8,10611.3,10653.55
9-Jun-13,10745.75,10801.2,10663.75,10776.8
11-Jun-13,12312.7,12390.15,12238.05,12252.4
12-Jun-13,12403.8,12473.25,12384.15,12440.2
13-Jun-13,11606.05,11686.8,11508.3,11534.3
14-Jun-13,11604.15,11725,11604.15,11705.35
17-Jun-13,11717.75,11857.55,11637.95,11844.85
18-Jun-13,11841.6,11968.85,11841.2,11896.65
19-Jun-13,11878.65,12016.9,11877.5,11980.2
20-Jun-13,11866.65,11866.65,11654.85,11666.65
21-Jun-13,11612.45,11688.4,11431.8,11525.1
24-Jun-13,11493.05,11493.05,11235.9,11255.2
25-Jun-13,11281.55,11331.05,11086.9,11237.7
26-Jun-13,11311.55,11320.4,11205.25,11219.95
27-Jun-13,11341.55,11397.15,11229.45,11293.6
28-Jun-13,11409.7,11602.15,11338.4,11546.65
1-Jul-13,12626.65,12711.75,12613.75,12640.45
2-Jul-13,12240.2,12303.05,12126.4,12151.65
3-Jul-13,11686.45,11747.1,11673.85,11731.45
5-Jul-13,12308.4,12405.8,12307.35,12399.05
6-Jul-13,12411,12483.8,12267.45,12276.95
8-Jul-13,10663.95,10881.05,10626.95,10799.3
10-Jul-13,11537.9,11609,11517.35,11600.25
11-Jul-13,12253.3,12307.2,12048.25,12059.5
15-Jul-13,11928.8,12058.45,11917.95,12046.65
16-Jul-13,11905.75,11927.3,11843.15,11891.35
17-Jul-13,11934.05,11976.55,11721.75,11808
18-Jul-13,11835.65,12009.2,11835.65,11993.75
19-Jul-13,12037.45,12045.65,11886.1,11909.9
22-Jul-13,11852.55,11967.65,11852.55,11882.45
23-Jul-13,11913.85,11994.5,11913.85,11948.95
24-Jul-13,11875.3,11892.35,11671.75,11721.2
25-Jul-13,11698.5,11718.3,11622.55,11632.35
26-Jul-13,11686.35,11729.4,11438.95,11527.5
29-Jul-13,11492.7,11492.7,11365.95,11386
30-Jul-13,11386.5,11409.65,11128.5,11150
31-Jul-13,11118.7,11190.7,10905.05,11161.95
1-Aug-13,12640.1,12685.6,12566.05,12633.4
2-Aug-13,12152.75,12183.8,12037.55,12068.35
3-Aug-13,11735.45,11871.65,11735.45,11859.35
4-Aug-13,11167,11239.7,11167,11205.7
5-Aug-13,12421.7,12454.8,12339.65,12371.45
7-Aug-13,11627.6,11746.5,11531.3,11684.45
8-Aug-13,10789.1,10901.9,10763.6,10877.95
10-Aug-13,11686.3,11720.75,11571.35,11594.45
11-Aug-13,12048,12127,12015.9,12079.9
13-Aug-13,10995.7,11245.3,10975.35,11228.9
14-Aug-13,11250.3,11351.95,11250.3,11312.3
16-Aug-13,11223.3,11223.3,10836.05,10865.65
19-Aug-13,10808.35,10808.35,10493.6,10602.45
20-Aug-13,10496.4,10597.4,10377.85,10498.4
21-Aug-13,10659.6,10740.05,10305.9,10350.7
22-Aug-13,10279.9,10489.6,10192.1,10464.5
23-Aug-13,10526.15,10624.15,10455.4,10613.05
26-Aug-13,10668,10733.8,10623.7,10667.85
27-Aug-13,10611.55,10629.3,10309.15,10329.55
28-Aug-13,10225.7,10241.4,9951.4,10203.1
